investor_id,transaction_date,amfi_code,transaction_type,amount_inr,state,city,city_tier,age_group,gender,annual_income_lakh,payment_mode,kyc_status,kyc_valid
INV002338,2024-01-01,120844,,292991,Delhi,New Delhi,T30,26-35,Male,23.6,UPI,Verified,True
INV001041,2024-01-01,101208,SIP,8547,Madhya Pradesh,Bhopal,B30,18-25,Male,5.1,Cheque,Verified,True
INV001400,2024-01-01,148567,SIP,10696,Tamil Nadu,Coimbatore,B30,36-45,Male,36.5,Mandate,Verified,True
INV000852,2024-01-01,101208,SIP,15916,Maharashtra,Nashik,B30,26-35,Female,18.1,UPI,Verified,True
INV004915,2024-01-01,120504,SIP,14096,Uttar Pradesh,Kanpur,B30,26-35,Male,9.6,Cheque,Verified,True
INV002984,2024-01-01,120844,,230179,Delhi,Gurugram,T30,26-35,Male,18.1,Mandate,Verified,True
INV002782,2024-01-01,102886,,250209,Punjab,Chandigarh,T30,18-25,Male,3.7,UPI,Verified,True
INV002316,2024-01-01,118632,SIP,4715,Punjab,Amritsar,B30,26-35,Male,16.7,Cheque,Verified,True
INV000097,2024-01-01,125498,,527377,Karnataka,Mysore,B30,18-25,Male,6.0,Net Banking,Verified,True
INV002139,2024-01-01,125498,,359482,Haryana,Gurugram,T30,36-45,Female,28.6,Mandate,Verified,True
INV002219,2024-01-01,101208,,525983,Karnataka,Mysore,B30,26-35,Male,6.9,Mandate,Verified,True
INV000576,2024-01-01,120841,,43157,Delhi,New Delhi,T30,46-55,Male,79.7,UPI,Verified,True
INV002166,2024-01-01,120844,SIP,1139,Haryana,Gurugram,T30,36-45,Male,33.3,Net Banking,Verified,True
INV000836,2024-01-01,100016,SIP,1139,Haryana,Gurugram,T30,26-35,Male,24.4,Mandate,Verified,True
INV001540,2024-01-01,101207,SIP,16264,Maharashtra,Pune,T30,26-35,Female,17.3,UPI,Verified,True
INV003664,2024-01-01,125498,SIP,15555,Rajasthan,Udaipur,B30,46-55,Male,29.4,UPI,Verified,True
INV002966,2024-01-01,149324,SIP,15946,Gujarat,Ahmedabad,T30,26-35,Female,18.4,Mandate,Verified,True
INV002387,2024-01-01,118634,SIP,2891,Telangana,Hyderabad,T30,26-35,Male,13.1,UPI,Verified,True
INV000983,2024-01-01,101206,SIP,3538,Telangana,Hyderabad,T30,36-45,Male,33.5,UPI,Verified,True
INV004128,2024-01-01,119094,,58934,Haryana,Faridabad,B30,18-25,Male,3.3,UPI,Verified,True
INV000081,2024-01-01,120844,SIP,1842,Gujarat,Surat,T30,36-45,Male,31.0,Net Banking,Verified,True
INV004548,2024-01-01,119551,,564276,Delhi,Noida,T30,36-45,Female,58.1,Cheque,Verified,True
INV002253,2024-01-01,120844,,289915,West Bengal,Kolkata,T30,46-55,Male,28.6,Net Banking,Verified,True
INV002942,2024-01-01,148568,,233200,Delhi,Noida,T30,36-45,Male,27.8,Cheque,Verified,True
INV004308,2024-01-01,119599,SIP,25855,Gujarat,Surat,T30,26-35,Female,11.1,Mandate,Verified,True
INV000488,2024-01-01,148568,,343317,Karnataka,Mysore,B30,56+,Male,31.4,Cheque,Verified,True
INV002560,2024-01-02,119120,SIP,6321,Haryana,Faridabad,B30,26-35,Male,6.4,Net Banking,Verified,True
INV003028,2024-01-02,100033,SIP,25360,Tamil Nadu,Chennai,T30,26-35,Female,12.8,Cheque,Verified,True
INV002868,2024-01-02,148569,SIP,59797,Gujarat,Ahmedabad,T30,26-35,Female,24.7,Net Banking,Verified,True
INV001156,2024-01-02,120843,SIP,28986,Madhya Pradesh,Indore,T30,56+,Female,58.8,Cheque,Pending,True
INV000313,2024-01-02,120843,,497034,Tamil Nadu,Chennai,T30,18-25,Female,3.1,Net Banking,Verified,True
INV003926,2024-01-02,118632,SIP,1891,West Bengal,Kolkata,T30,46-55,Male,92.8,UPI,Verified,True
INV003383,2024-01-02,125497,,241316,Karnataka,Mysore,B30,18-25,Male,4.6,Net Banking,Verified,True
INV001017,2024-01-02,118632,,16893,West Bengal,Kolkata,T30,26-35,Female,19.0,Cheque,Verified,True
INV003225,2024-01-02,120843,SIP,3346,West Bengal,Kolkata,T30,26-35,Male,9.2,UPI,Verified,True
INV003892,2024-01-02,102887,SIP,7250,Punjab,Amritsar,B30,46-55,Male,24.4,Mandate,Verified,True
INV002135,2024-01-02,100016,,437305,Gujarat,Ahmedabad,T30,56+,Male,18.3,Net Banking,Verified,True
INV002961,2024-01-02,149322,SIP,16811,Gujarat,Ahmedabad,T30,26-35,Male,13.0,Net Banking,Verified,True
INV000983,2024-01-02,101208,SIP,10547,Telangana,Hyderabad,T30,36-45,Male,33.5,Net Banking,Verified,True
INV003821,2024-01-02,119092,SIP,7584,Delhi,Noida,T30,18-25,Female,6.4,UPI,Pending,True
INV002940,2024-01-02,102886,SIP,966,Haryana,Faridabad,B30,26-35,Male,18.3,Cheque,Verified,True
INV002817,2024-01-02,102886,,26453,Gujarat,Ahmedabad,T30,26-35,Male,15.8,UPI,Verified,True
INV001890,2024-01-02,120504,SIP,859,Madhya Pradesh,Bhopal,B30,26-35,Male,21.9,Mandate,Verified,True
INV001888,2024-01-02,120505,,410786,Delhi,New Delhi,T30,18-25,Female,6.4,UPI,Verified,True
INV000370,2024-01-02,118634,SIP,17394,Delhi,Noida,T30,26-35,Female,12.4,Mandate,Verified,True
INV002981,2024-01-02,102886,,100110,Maharashtra,Mumbai,T30,18-25,Female,7.3,Mandate,Verified,True
INV003027,2024-01-02,148569,,330642,Telangana,Hyderabad,T30,26-35,Male,20.8,Cheque,Verified,True
INV001106,2024-01-02,118636,,50410,Tamil Nadu,Chennai,T30,26-35,Male,13.1,Net Banking,Verified,True
INV003942,2024-01-02,118632,SIP,16594,Haryana,Faridabad,B30,26-35,Female,23.3,Cheque,Verified,True
INV000339,2024-01-02,101207,,383487,Uttar Pradesh,Kanpur,B30,26-35,Male,22.3,Cheque,Verified,True
INV002811,2024-01-02,125497,SIP,2631,Uttar Pradesh,Agra,B30,36-45,Male,43.7,Net Banking,Verified,True
INV004296,2024-01-02,100025,SIP,879,Telangana,Hyderabad,T30,26-35,Male,18.2,UPI,Verified,True
INV002976,2024-01-02,119599,,234926,Tamil Nadu,Coimbatore,B30,26-35,Male,23.7,Mandate,Verified,True
INV000349,2024-01-02,120505,,335222,Maharashtra,Mumbai,T30,18-25,Female,3.8,Mandate,Verified,True
INV002546,2024-01-02,101208,,22305,Gujarat,Surat,T30,26-35,Male,19.3,UPI,Verified,True
INV003505,2024-01-02,120843,,362856,West Bengal,Kolkata,T30,56+,Female,53.5,Net Banking,Verified,True
INV000006,2024-01-02,118633,SIP,8594,Madhya Pradesh,Bhopal,B30,46-55,Female,43.0,Cheque,Verified,True
INV000662,2024-01-02,120843,SIP,427,Gujarat,Surat,T30,36-45,Female,20.1,Cheque,Verified,True
INV001284,2024-01-02,119092,,6499,West Bengal,Kolkata,T30,36-45,Male,49.0,Cheque,Verified,True
INV004127,2024-01-02,148568,SIP,4185,Madhya Pradesh,Indore,T30,36-45,Female,27.3,Mandate,Verified,True
INV003208,2024-01-02,120506,SIP,2506,Madhya Pradesh,Bhopal,B30,46-55,Male,80.0,Mandate,Verified,True
INV002165,2024-01-02,118634,SIP,2539,Telangana,Hyderabad,T30,46-55,Male,46.2,Net Banking,Verified,True
INV002621,2024-01-02,148567,SIP,401,Uttar Pradesh,Agra,B30,26-35,Female,22.6,UPI,Pending,True
INV004502,2024-01-02,148567,SIP,10492,Rajasthan,Udaipur,B30,36-45,Male,59.0,Net Banking,Verified,True
INV001174,2024-01-02,149323,SIP,977,Maharashtra,Nashik,B30,36-45,Male,12.7,Cheque,Verified,True
INV004658,2024-01-02,120842,,17258,Punjab,Chandigarh,T30,56+,Male,48.7,Cheque,Verified,True
INV004656,2024-01-02,120844,,357937,Haryana,Gurugram,T30,18-25,Male,4.7,Mandate,Verified,True
INV003658,2024-01-02,125498,SIP,12014,West Bengal,Kolkata,T30,26-35,Male,6.3,UPI,Verified,True
INV003649,2024-01-02,119598,,483596,Haryana,Gurugram,T30,46-55,Female,79.9,Cheque,Verified,True
INV004582,2024-01-02,149323,,249744,Tamil Nadu,Chennai,T30,56+,Male,67.1,Net Banking,Verified,True
INV003232,2024-01-02,120842,SIP,9766,Maharashtra,Pune,T30,36-45,Female,30.9,Mandate,Verified,True
INV004414,2024-01-02,149324,SIP,14409,Uttar Pradesh,Lucknow,T30,26-35,Male,6.6,Mandate,Verified,True
INV001799,2024-01-02,119120,,116421,Rajasthan,Udaipur,B30,56+,Female,45.2,Cheque,Verified,True
INV001506,2024-01-02,119552,,19502,Delhi,Noida,T30,26-35,Female,16.0,UPI,Verified,True
INV001699,2024-01-02,119095,SIP,1108,Madhya Pradesh,Indore,T30,26-35,Male,24.6,Net Banking,Verified,True
INV002196,2024-01-02,148569,SIP,1696,Delhi,Gurugram,T30,26-35,Female,23.6,UPI,Verified,True
INV001328,2024-01-02,120842,,484947,Uttar Pradesh,Lucknow,T30,26-35,Male,7.4,Net Banking,Verified,True
INV004567,2024-01-02,120841,SIP,14130,Telangana,Hyderabad,T30,56+,Male,75.0,Mandate,Verified,True
INV003865,2024-01-02,149322,SIP,3482,Gujarat,Ahmedabad,T30,18-25,Female,3.3,Cheque,Verified,True
INV000105,2024-01-02,119093,SIP,5253,Punjab,Chandigarh,T30,56+,Male,41.4,UPI,Verified,True
INV004514,2024-01-02,148568,SIP,16661,Haryana,Faridabad,B30,46-55,Male,40.1,Mandate,Verified,True
INV004516,2024-01-02,102885,SIP,1137,Haryana,Gurugram,T30,36-45,Male,14.4,Net Banking,Verified,True
INV002374,2024-01-02,118634,,81173,Uttar Pradesh,Kanpur,B30,26-35,Female,8.6,Net Banking,Verified,True
INV001727,2024-01-02,119598,SIP,16687,Gujarat,Surat,T30,46-55,Female,74.1,Net Banking,Verified,True
INV002888,2024-01-03,100025,,259110,Rajasthan,Udaipur,B30,26-35,Male,9.2,Net Banking,Pending,True
INV001769,2024-01-03,120506,SIP,889,Punjab,Chandigarh,T30,18-25,Male,7.4,Cheque,Pending,True
INV003609,2024-01-03,120843,SIP,16476,Karnataka,Mysore,B30,26-35,Male,9.2,Net Banking,Verified,True
INV003571,2024-01-03,149323,SIP,536,Haryana,Faridabad,B30,36-45,Male,53.1,UPI,Verified,True
INV001367,2024-01-03,118632,SIP,10274,Maharashtra,Nashik,B30,36-45,Male,32.2,Net Banking,Verified,True
INV003178,2024-01-03,119094,,118897,Telangana,Hyderabad,T30,46-55,Female,60.9,Cheque,Verified,True
INV002599,2024-01-03,100025,,286111,Gujarat,Surat,T30,26-35,Male,11.4,Net Banking,Verified,True
INV003626,2024-01-03,125497,,483044,Madhya Pradesh,Indore,T30,26-35,Male,23.5,Net Banking,Verified,True
INV000690,2024-01-03,148569,,173646,Delhi,Gurugram,T30,46-55,Male,98.7,UPI,Verified,True
INV001860,2024-01-03,119092,SIP,1978,Karnataka,Mysore,B30,26-35,Female,9.0,Cheque,Verified,True
INV002065,2024-01-03,100025,SIP,47647,Rajasthan,Udaipur,B30,46-55,Male,78.6,UPI,Verified,True
INV002708,2024-01-03,120504,,205486,Karnataka,Mysore,B30,26-35,Male,14.0,Mandate,Verified,True
INV004288,2024-01-03,119120,,95676,Punjab,Amritsar,B30,18-25,Female,6.1,Mandate,Verified,True
INV004581,2024-01-03,120505,SIP,2292,Gujarat,Surat,T30,26-35,Male,14.7,Cheque,Pending,True
INV002467,2024-01-03,125498,SIP,50948,Punjab,Chandigarh,T30,36-45,Male,12.3,UPI,Verified,True
INV003670,2024-01-03,120505,SIP,8793,Punjab,Chandigarh,T30,36-45,Male,38.4,Mandate,Verified,True
INV004024,2024-01-03,119552,SIP,43121,Telangana,Hyderabad,T30,36-45,Male,23.1,UPI,Verified,True
INV000747,2024-01-03,120841,,374549,West Bengal,Kolkata,T30,36-45,Female,40.3,Mandate,Verified,True
INV002847,2024-01-03,148567,SIP,4736,Haryana,Faridabad,B30,26-35,Male,13.4,Mandate,Verified,True
INV001508,2024-01-03,120503,SIP,7953,Tamil Nadu,Coimbatore,B30,46-55,Male,63.3,Cheque,Verified,True
INV004562,2024-01-03,149324,SIP,963,Telangana,Hyderabad,T30,26-35,Female,19.0,Cheque,Pending,True
INV001350,2024-01-03,125498,,83480,Madhya Pradesh,Bhopal,B30,46-55,Female,31.7,Net Banking,Verified,True
INV002357,2024-01-03,100016,SIP,26713,Delhi,Gurugram,T30,26-35,Male,7.8,UPI,Verified,True
INV002059,2024-01-03,101208,,268619,Haryana,Faridabad,B30,46-55,Male,95.1,Net Banking,Verified,True
INV000595,2024-01-03,102887,,124825,Gujarat,Surat,T30,18-25,Male,7.6,Cheque,Verified,True
INV004391,2024-01-03,118636,SIP,484,Maharashtra,Mumbai,T30,26-35,Female,23.3,UPI,Verified,True
INV004733,2024-01-03,102885,SIP,7080,Telangana,Hyderabad,T30,18-25,Male,5.4,Net Banking,Pending,True
INV002865,2024-01-03,148569,,449863,Maharashtra,Pune,T30,18-25,Male,3.3,UPI,Verified,True
INV000454,2024-01-03,119599,SIP,15910,Uttar Pradesh,Lucknow,T30,18-25,Female,6.6,Net Banking,Verified,True
INV002414,2024-01-03,120507,,396379,Gujarat,Surat,T30,26-35,Female,24.1,UPI,Verified,True
INV000321,2024-01-03,149323,SIP,15782,Maharashtra,Mumbai,T30,26-35,Male,24.2,Cheque,Verified,True
INV003379,2024-01-03,120841,SIP,1008,Uttar Pradesh,Lucknow,T30,36-45,Male,43.2,Cheque,Verified,True
INV004544,2024-01-03,148567,,410715,Maharashtra,Mumbai,T30,36-45,Male,52.1,Cheque,Verified,True
INV000527,2024-01-03,119094,,114021,Telangana,Hyderabad,T30,26-35,Male,12.1,Mandate,Verified,True
INV004633,2024-01-03,125498,,296354,Telangana,Hyderabad,T30,18-25,Female,4.9,Net Banking,Verified,True
INV003737,2024-01-03,119093,,126721,Punjab,Chandigarh,T30,18-25,Male,4.4,Net Banking,Verified,True
INV000679,2024-01-03,149323,,141968,Haryana,Faridabad,B30,46-55,Female,79.1,UPI,Verified,True
INV004357,2024-01-03,125498,SIP,2459,Delhi,Gurugram,T30,46-55,Female,55.6,Cheque,Verified,True
INV004941,2024-01-03,120505,,310085,Maharashtra,Nashik,B30,26-35,Male,11.0,Net Banking,Verified,True
INV000632,2024-01-03,120844,,246606,Delhi,Gurugram,T30,36-45,Male,49.1,UPI,Verified,True
INV000849,2024-01-03,148567,,254442,Delhi,Gurugram,T30,56+,Female,32.5,Cheque,Verified,True
INV001167,2024-01-03,118636,SIP,41124,Punjab,Amritsar,B30,36-45,Male,26.7,Net Banking,Verified,True
INV000007,2024-01-03,119094,SIP,13603,Uttar Pradesh,Kanpur,B30,26-35,Male,21.9,Mandate,Verified,True
INV000431,2024-01-03,120504,SIP,23759,Madhya Pradesh,Bhopal,B30,18-25,Female,4.6,Mandate,Verified,True
INV002417,2024-01-03,120842,SIP,2719,Tamil Nadu,Coimbatore,B30,26-35,Male,16.8,Mandate,Verified,True
INV000011,2024-01-03,120507,SIP,2230,West Bengal,Kolkata,T30,26-35,Male,9.6,Mandate,Verified,True
INV001167,2024-01-03,102886,SIP,8419,Punjab,Amritsar,B30,36-45,Male,26.7,UPI,Verified,True
INV000954,2024-01-03,148568,SIP,2224,Haryana,Faridabad,B30,26-35,Female,8.3,Cheque,Verified,True
INV002101,2024-01-03,102887,,234810,Uttar Pradesh,Lucknow,T30,26-35,Male,14.7,Mandate,Verified,True
INV000947,2024-01-03,101208,,281989,Delhi,Noida,T30,26-35,Male,11.0,UPI,Verified,True
INV004867,2024-01-03,100033,,331777,Karnataka,Bangalore,T30,18-25,Male,7.3,Mandate,Verified,True
INV004125,2024-01-03,100016,SIP,2999,Gujarat,Surat,T30,26-35,Male,9.4,Cheque,Verified,True
INV001910,2024-01-03,102886,,502057,Karnataka,Mysore,B30,26-35,Female,15.2,Mandate,Verified,True
INV001411,2024-01-03,102886,SIP,2998,Delhi,Gurugram,T30,26-35,Female,7.1,Cheque,Verified,True
INV003326,2024-01-03,125498,SIP,2712,Karnataka,Bangalore,T30,36-45,Male,40.9,Mandate,Verified,True
INV004173,2024-01-03,120504,SIP,479,West Bengal,Kolkata,T30,26-35,Male,16.9,Mandate,Verified,True
INV004867,2024-01-03,120506,SIP,3082,Karnataka,Bangalore,T30,18-25,Male,7.3,UPI,Pending,True
INV001454,2024-01-03,120843,SIP,554,Tamil Nadu,Chennai,T30,26-35,Male,9.3,Net Banking,Verified,True
INV003100,2024-01-04,149324,,361700,Telangana,Hyderabad,T30,26-35,Male,16.5,Net Banking,Verified,True
INV000215,2024-01-04,120505,,190843,Maharashtra,Nashik,B30,26-35,Female,18.3,Mandate,Verified,True
INV003191,2024-01-04,119092,,94475,Madhya Pradesh,Bhopal,B30,18-25,Female,6.8,Mandate,Verified,True
INV003946,2024-01-04,120504,,465127,Karnataka,Mysore,B30,26-35,Female,9.2,Net Banking,Verified,True
INV000330,2024-01-04,119552,SIP,8747,Madhya Pradesh,Bhopal,B30,26-35,Female,11.9,Mandate,Verified,True
INV004797,2024-01-04,125497,,178854,Gujarat,Ahmedabad,T30,56+,Male,18.9,Net Banking,Verified,True
INV000330,2024-01-04,120841,,351770,Madhya Pradesh,Bhopal,B30,26-35,Female,11.9,Net Banking,Verified,True
INV001128,2024-01-04,120844,,168521,West Bengal,Kolkata,T30,36-45,Female,43.2,Cheque,Verified,True
INV002302,2024-01-04,125498,,153713,West Bengal,Kolkata,T30,26-35,Male,10.1,UPI,Verified,True
INV002495,2024-01-04,118636,SIP,2727,Maharashtra,Nashik,B30,26-35,Male,6.6,Net Banking,Verified,True
INV002158,2024-01-04,120507,,39096,Madhya Pradesh,Indore,T30,26-35,Male,14.5,Net Banking,Verified,True
INV000144,2024-01-04,120503,SIP,499,Delhi,Noida,T30,26-35,Male,19.1,Net Banking,Verified,True
INV004563,2024-01-04,118634,,38117,Gujarat,Surat,T30,46-55,Female,32.2,Cheque,Verified,True
INV002912,2024-01-04,149323,,520148,Maharashtra,Mumbai,T30,26-35,Female,23.6,Net Banking,Verified,True
INV002343,2024-01-04,119093,SIP,1182,Punjab,Amritsar,B30,26-35,Male,22.1,Net Banking,Verified,True
INV000091,2024-01-04,120504,SIP,2368,Haryana,Gurugram,T30,26-35,Male,14.6,Mandate,Verified,True
INV004688,2024-01-04,120505,,168104,West Bengal,Kolkata,T30,26-35,Male,20.7,UPI,Verified,True
INV004321,2024-01-04,120843,SIP,1147,West Bengal,Kolkata,T30,26-35,Male,16.0,Mandate,Verified,True
INV001579,2024-01-04,125498,SIP,40657,Karnataka,Bangalore,T30,46-55,Male,71.1,UPI,Verified,True
INV003705,2024-01-04,120506,SIP,57004,Telangana,Hyderabad,T30,26-35,Male,8.0,UPI,Pending,True
INV000544,2024-01-04,120507,,295246,Madhya Pradesh,Bhopal,B30,18-25,Male,3.6,Mandate,Verified,True
INV001997,2024-01-04,120505,SIP,908,Delhi,New Delhi,T30,56+,Female,24.8,UPI,Verified,True
INV003707,2024-01-04,120506,SIP,3527,Telangana,Hyderabad,T30,36-45,Female,55.5,Mandate,Verified,True
INV000372,2024-01-04,148569,,209421,Gujarat,Surat,T30,36-45,Male,12.4,Cheque,Verified,True
INV001331,2024-01-04,120841,SIP,568,Gujarat,Ahmedabad,T30,26-35,Male,17.5,Net Banking,Verified,True
INV002033,2024-01-04,102885,SIP,8905,Gujarat,Ahmedabad,T30,46-55,Male,18.9,UPI,Verified,True
INV003953,2024-01-04,148569,SIP,58436,Maharashtra,Pune,T30,36-45,Male,17.4,Mandate,Verified,True
INV003500,2024-01-04,120505,SIP,2007,Maharashtra,Mumbai,T30,26-35,Male,15.5,Mandate,Pending,True
INV003240,2024-01-04,101206,SIP,6686,Haryana,Gurugram,T30,26-35,Male,21.7,Net Banking,Pending,True
INV003040,2024-01-04,119598,,468352,Karnataka,Bangalore,T30,26-35,Female,15.3,Cheque,Verified,True
INV000663,2024-01-04,148568,SIP,558,Haryana,Gurugram,T30,26-35,Female,13.8,Mandate,Pending,True
INV003083,2024-01-04,125497,,201815,Madhya Pradesh,Bhopal,B30,56+,Female,41.3,UPI,Verified,True
INV004131,2024-01-04,101208,SIP,2343,Uttar Pradesh,Kanpur,B30,26-35,Male,10.3,UPI,Verified,True
INV001806,2024-01-04,102885,SIP,20256,Telangana,Hyderabad,T30,36-45,Male,32.6,UPI,Verified,True
INV001190,2024-01-04,118636,SIP,9909,Maharashtra,Mumbai,T30,26-35,Male,15.6,Mandate,Verified,True
INV004939,2024-01-04,118635,SIP,25211,Punjab,Amritsar,B30,18-25,Male,4.7,Cheque,Verified,True
INV004896,2024-01-04,148567,,22023,Uttar Pradesh,Agra,B30,18-25,Female,3.5,Mandate,Verified,True
INV004682,2024-01-04,120841,SIP,571,Telangana,Hyderabad,T30,26-35,Female,8.7,Mandate,Verified,True
INV002891,2024-01-04,120842,SIP,2202,Haryana,Faridabad,B30,36-45,Female,56.5,Cheque,Verified,True
INV002400,2024-01-04,120506,SIP,11693,Punjab,Chandigarh,T30,36-45,Male,15.5,Cheque,Verified,True
INV004138,2024-01-04,119094,SIP,827,Madhya Pradesh,Indore,T30,36-45,Male,18.2,Mandate,Verified,True
INV003489,2024-01-04,149323,SIP,11426,Rajasthan,Udaipur,B30,26-35,Male,11.4,UPI,Verified,True
INV004602,2024-01-04,120504,SIP,28337,Delhi,Noida,T30,26-35,Female,9.4,Cheque,Verified,True
INV004593,2024-01-04,120506,,65501,Punjab,Amritsar,B30,26-35,Male,13.7,Net Banking,Verified,True
INV003394,2024-01-04,149322,SIP,13339,West Bengal,Kolkata,T30,26-35,Male,14.6,Mandate,Verified,True
INV002056,2024-01-04,119551,SIP,5980,Madhya Pradesh,Bhopal,B30,18-25,Female,3.4,Mandate,Verified,True
INV004770,2024-01-04,125497,SIP,8263,Gujarat,Surat,T30,18-25,Female,5.2,Net Banking,Verified,True
INV002862,2024-01-04,119092,SIP,1123,Telangana,Hyderabad,T30,56+,Male,72.7,Mandate,Verified,True
INV003414,2024-01-04,149322,SIP,2730,Maharashtra,Pune,T30,36-45,Female,20.3,Cheque,Verified,True
INV000803,2024-01-04,120505,SIP,4906,Karnataka,Mysore,B30,26-35,Female,20.6,Cheque,Verified,True
INV004353,2024-01-04,120844,,20266,Uttar Pradesh,Agra,B30,56+,Male,31.2,UPI,Verified,True
INV001553,2024-01-04,120844,,125745,Delhi,Noida,T30,26-35,Male,23.5,Cheque,Verified,True
INV003579,2024-01-04,119599,,518933,West Bengal,Kolkata,T30,18-25,Male,4.6,Net Banking,Verified,True
INV003410,2024-01-04,149324,SIP,1826,Madhya Pradesh,Indore,T30,26-35,Male,7.7,UPI,Verified,True
INV003409,2024-01-04,125497,,255163,Karnataka,Mysore,B30,46-55,Male,44.2,Net Banking,Verified,True
INV002554,2024-01-04,102885,SIP,8997,Madhya Pradesh,Bhopal,B30,18-25,Male,5.4,Net Banking,Verified,True
INV004059,2024-01-04,120843,SIP,7638,Maharashtra,Pune,T30,26-35,Female,17.0,Net Banking,Verified,True
INV000639,2024-01-04,149322,,286253,Tamil Nadu,Coimbatore,B30,18-25,Female,3.6,UPI,Verified,True
INV002219,2024-01-04,120504,SIP,5981,Karnataka,Mysore,B30,26-35,Male,6.9,Mandate,Verified,True
